Dataset,Model Name,Explicabilidade R2 para F1,Explicabilidade R2 para Model Size (Log),Inference time,Disk Size (mb),RMSE para F1,RMSE para Model Size (Log)
birds,xgboost_multi_output,0.9546,0.9977,0.00261,24.5571,0.0315,0.1027
birds,xgboost_regressor_chain,0.9546,0.9972,0.004947,33.895,0.0315,0.1135
birds,lgbm_regressor_chain,0.9506,0.9974,0.006937,10.5283,0.0329,0.11
birds,catboost_multi_output,0.9444,0.9973,0.003509,14.5102,0.0349,0.112
birds,lgbm_multi_output,0.9439,0.9972,0.002693,8.0488,0.0351,0.1138
birds,mlp_native,0.918,0.9973,0.000499,1.2649,0.0424,0.1104
birds,random_forest_regressor_chain,0.9164,0.9872,0.163015,11954.5458,0.0428,0.2423
birds,random_forest_multi_output,0.9161,0.988,0.024587,3260.4405,0.0429,0.2351
birds,random_forest_native,0.8644,0.9867,0.014559,1113.6949,0.0545,0.2472
birds,knn_native,0.8156,0.9641,0.003893,133.6284,0.0636,0.4064
birds,ridge_multi_output,0.7511,0.9431,0.000615,0.017,0.0738,0.5115
enron,xgboost_multi_output,0.9672,0.9928,0.00177,25.1153,0.0097,0.1891
enron,xgboost_regressor_chain,0.9661,0.9917,0.004678,16.4276,0.0098,0.203
enron,lgbm_multi_output,0.9641,0.9927,0.003674,8.9223,0.0101,0.1905
enron,lgbm_regressor_chain,0.9638,0.9916,0.00714,10.1653,0.0101,0.2046
enron,catboost_multi_output,0.9601,0.9926,0.003304,15.1407,0.0107,0.1912
enron,random_forest_multi_output,0.9157,0.9798,0.072817,8773.0649,0.0155,0.3169
enron,random_forest_regressor_chain,0.9147,0.9783,0.096209,5637.1456,0.0156,0.3288
enron,random_forest_native,0.8856,0.9798,0.027529,4159.6245,0.018,0.3172
enron,knn_native,0.867,0.9647,0.003288,101.7519,0.0194,0.419
enron,mlp_native,0.8551,0.9885,0.000342,0.5215,0.0203,0.2388
enron,ridge_multi_output,0.7287,0.9386,0.00071,0.017,0.0278,0.5526
medical,xgboost_regressor_chain,0.9755,0.9948,0.005184,22.4501,0.034,0.1507
medical,xgboost_multi_output,0.9748,0.9949,0.001734,16.561,0.0345,0.1498
medical,lgbm_multi_output,0.9731,0.9936,0.002004,7.7694,0.0356,0.1671
medical,lgbm_regressor_chain,0.9714,0.9935,0.005268,5.9617,0.0367,0.1683
medical,catboost_multi_output,0.9712,0.9951,0.002773,29.958,0.0368,0.1461
medical,mlp_native,0.9429,0.9936,0.000411,0.6919,0.0519,0.1668
medical,random_forest_multi_output,0.9285,0.9848,0.09472,9193.4477,0.058,0.2577
medical,random_forest_regressor_chain,0.9284,0.9841,0.097236,5142.7009,0.0581,0.2636
medical,random_forest_native,0.8691,0.9842,0.033874,4422.7766,0.0786,0.2631
medical,knn_native,0.8405,0.9623,0.002894,93.953,0.0867,0.4059
medical,ridge_multi_output,0.8072,0.9669,0.000639,0.017,0.0953,0.3806
scene,xgboost_multi_output,0.9627,0.996,0.001798,25.1796,0.0277,0.1441
scene,xgboost_regressor_chain,0.9608,0.9948,0.003404,28.7287,0.0284,0.163
scene,catboost_multi_output,0.96,0.9961,0.003353,23.9003,0.0287,0.1421
scene,lgbm_regressor_chain,0.9578,0.9951,0.005282,10.9199,0.0295,0.1583
scene,lgbm_multi_output,0.9536,0.9957,0.003302,6.3988,0.0309,0.1492
scene,mlp_native,0.8923,0.9937,0.000477,0.9239,0.047,0.1808
scene,random_forest_regressor_chain,0.8754,0.9843,0.169752,6630.5735,0.0506,0.2847
scene,random_forest_multi_output,0.8753,0.9845,0.087342,6761.4068,0.0506,0.2831
scene,random_forest_native,0.7895,0.9849,0.023543,3333.1774,0.0658,0.2795
scene,knn_native,0.7152,0.9623,0.002331,98.8052,0.0765,0.4411
scene,ridge_multi_output,0.7005,0.9489,0.000526,0.017,0.0784,0.5136
yeast,xgboost_regressor_chain,0.961,0.9967,0.003311,31.3966,0.0142,0.1321
yeast,xgboost_multi_output,0.9572,0.9971,0.001761,17.4837,0.0149,0.1248
yeast,catboost_multi_output,0.9569,0.997,0.003313,30.8398,0.0149,0.1259
yeast,lgbm_regressor_chain,0.9517,0.9963,0.005744,9.1377,0.0158,0.1409
yeast,lgbm_multi_output,0.9494,0.9964,0.002002,9.019,0.0162,0.1379
yeast,random_forest_multi_output,0.8745,0.9823,0.013313,1615.7167,0.0255,0.3067
yeast,random_forest_regressor_chain,0.8698,0.9806,0.118787,4232.8526,0.0259,0.3213
yeast,mlp_native,0.8181,0.993,0.000275,0.5026,0.0307,0.1926
yeast,random_forest_native,0.8159,0.9825,0.021118,3489.674,0.0308,0.3047
yeast,knn_native,0.7086,0.9522,0.004515,120.609,0.0388,0.5043
yeast,ridge_multi_output,0.5616,0.9108,0.000689,0.017,0.0476,0.6888
