Model Name,Explicabilidade R2 para F1,Explicabilidade R2 para Model Size (Log),RMSE para F1,RMSE para Model Size (Log),Disk Size (mb),Inference time,Dataset
xgboost_multi_output,0.9546,0.9977,0.0315,0.1027,24.5571,0.00261,birds
xgboost_regressor_chain,0.9546,0.9972,0.0315,0.1135,33.895,0.004947,birds
lgbm_regressor_chain,0.9506,0.9974,0.0329,0.11,10.5283,0.006937,birds
catboost_multi_output,0.9444,0.9973,0.0349,0.112,14.5102,0.003509,birds
lgbm_multi_output,0.9439,0.9972,0.0351,0.1138,8.0488,0.002693,birds
mlp_native,0.918,0.9973,0.0424,0.1104,1.2649,0.000499,birds
random_forest_regressor_chain,0.9164,0.9872,0.0428,0.2423,11954.5458,0.163015,birds
random_forest_multi_output,0.9161,0.988,0.0429,0.2351,3260.4405,0.024587,birds
random_forest_native,0.8644,0.9867,0.0545,0.2472,1113.6949,0.014559,birds
knn_native,0.8156,0.9641,0.0636,0.4064,133.6284,0.003893,birds
ridge_multi_output,0.7511,0.9431,0.0738,0.5115,0.017,0.000615,birds
