Model Name,Explicabilidade R2 para F1,Explicabilidade R2 para Model Size (Log),RMSE para F1,RMSE para Model Size (Log),Disk Size (mb),Inference time,Dataset
xgboost_multi_output,0.9672,0.9928,0.0097,0.1891,25.1153,0.00177,enron
xgboost_regressor_chain,0.9661,0.9917,0.0098,0.203,16.4276,0.004678,enron
lgbm_multi_output,0.9641,0.9927,0.0101,0.1905,8.9223,0.003674,enron
lgbm_regressor_chain,0.9638,0.9916,0.0101,0.2046,10.1653,0.00714,enron
catboost_multi_output,0.9601,0.9926,0.0107,0.1912,15.1407,0.003304,enron
random_forest_multi_output,0.9157,0.9798,0.0155,0.3169,8773.0649,0.072817,enron
random_forest_regressor_chain,0.9147,0.9783,0.0156,0.3288,5637.1456,0.096209,enron
random_forest_native,0.8856,0.9798,0.018,0.3172,4159.6245,0.027529,enron
knn_native,0.867,0.9647,0.0194,0.419,101.7519,0.003288,enron
mlp_native,0.8551,0.9885,0.0203,0.2388,0.5215,0.000342,enron
ridge_multi_output,0.7287,0.9386,0.0278,0.5526,0.017,0.00071,enron
