Model Name,Explicabilidade R2 para F1,Explicabilidade R2 para Model Size (Log),RMSE para F1,RMSE para Model Size (Log),Disk Size (mb),Inference time,Dataset
xgboost_regressor_chain,0.9755,0.9948,0.034,0.1507,22.4501,0.005184,medical
xgboost_multi_output,0.9748,0.9949,0.0345,0.1498,16.561,0.001734,medical
lgbm_multi_output,0.9731,0.9936,0.0356,0.1671,7.7694,0.002004,medical
lgbm_regressor_chain,0.9714,0.9935,0.0367,0.1683,5.9617,0.005268,medical
catboost_multi_output,0.9712,0.9951,0.0368,0.1461,29.958,0.002773,medical
mlp_native,0.9429,0.9936,0.0519,0.1668,0.6919,0.000411,medical
random_forest_multi_output,0.9285,0.9848,0.058,0.2577,9193.4477,0.09472,medical
random_forest_regressor_chain,0.9284,0.9841,0.0581,0.2636,5142.7009,0.097236,medical
random_forest_native,0.8691,0.9842,0.0786,0.2631,4422.7766,0.033874,medical
knn_native,0.8405,0.9623,0.0867,0.4059,93.953,0.002894,medical
ridge_multi_output,0.8072,0.9669,0.0953,0.3806,0.017,0.000639,medical
