Model Name,Explicabilidade R2 para F1,Explicabilidade R2 para Model Size (Log),RMSE para F1,RMSE para Model Size (Log),Disk Size (mb),Inference time,Dataset
xgboost_multi_output,0.9627,0.996,0.0277,0.1441,25.1796,0.001798,scene
xgboost_regressor_chain,0.9608,0.9948,0.0284,0.163,28.7287,0.003404,scene
catboost_multi_output,0.96,0.9961,0.0287,0.1421,23.9003,0.003353,scene
lgbm_regressor_chain,0.9578,0.9951,0.0295,0.1583,10.9199,0.005282,scene
lgbm_multi_output,0.9536,0.9957,0.0309,0.1492,6.3988,0.003302,scene
mlp_native,0.8923,0.9937,0.047,0.1808,0.9239,0.000477,scene
random_forest_regressor_chain,0.8754,0.9843,0.0506,0.2847,6630.5735,0.169752,scene
random_forest_multi_output,0.8753,0.9845,0.0506,0.2831,6761.4068,0.087342,scene
random_forest_native,0.7895,0.9849,0.0658,0.2795,3333.1774,0.023543,scene
knn_native,0.7152,0.9623,0.0765,0.4411,98.8052,0.002331,scene
ridge_multi_output,0.7005,0.9489,0.0784,0.5136,0.017,0.000526,scene
