Model Name,Explicabilidade R2 para F1,Explicabilidade R2 para Model Size (Log),RMSE para F1,RMSE para Model Size (Log),Disk Size (mb),Inference time,Dataset
xgboost_regressor_chain,0.961,0.9967,0.0142,0.1321,31.3966,0.003311,yeast
xgboost_multi_output,0.9572,0.9971,0.0149,0.1248,17.4837,0.001761,yeast
catboost_multi_output,0.9569,0.997,0.0149,0.1259,30.8398,0.003313,yeast
lgbm_regressor_chain,0.9517,0.9963,0.0158,0.1409,9.1377,0.005744,yeast
lgbm_multi_output,0.9494,0.9964,0.0162,0.1379,9.019,0.002002,yeast
random_forest_multi_output,0.8745,0.9823,0.0255,0.3067,1615.7167,0.013313,yeast
random_forest_regressor_chain,0.8698,0.9806,0.0259,0.3213,4232.8526,0.118787,yeast
mlp_native,0.8181,0.993,0.0307,0.1926,0.5026,0.000275,yeast
random_forest_native,0.8159,0.9825,0.0308,0.3047,3489.674,0.021118,yeast
knn_native,0.7086,0.9522,0.0388,0.5043,120.609,0.004515,yeast
ridge_multi_output,0.5616,0.9108,0.0476,0.6888,0.017,0.000689,yeast
