Model,Best_Params,R2 para F1 (macro averaged by label),R2 para Model Size Log,RMSE para F1 (macro averaged by label),RMSE para Model Size Log
ridge_multi_output,{'multioutputregressor__estimator__alpha': 12.0},0.7287,0.9386,0.0278,0.5526
random_forest_multi_output,"{'n_estimators': 824, 'max_depth': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.9157,0.9798,0.0155,0.3169
lgbm_multi_output,"{'n_estimators': 837, 'learning_rate': 0.09976465140542931, 'num_leaves': 58, 'max_depth': 16, 'reg_alpha': 0.006251794762283497, 'reg_lambda': 0.0003745645757594365}",0.9641,0.9927,0.0101,0.1905
catboost_multi_output,"{'iterations': 953, 'learning_rate': 0.09939853380441185, 'depth': 9, 'l2_leaf_reg': 1.1517038442676821, 'random_strength': 1.5453841579810226}",0.9601,0.9926,0.0107,0.1912
xgboost_multi_output,"{'n_estimators': 867, 'learning_rate': 0.07003093229272457, 'max_depth': 9, 'subsample': 0.7757218626801526, 'colsample_bytree': 0.6932307412472664, 'reg_lambda': 5.629238244844024e-07, 'gamma': 1.750224159731869e-05}",0.9672,0.9928,0.0097,0.1891
random_forest_regressor_chain,"{'n_estimators': 537, 'max_depth': 46, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.9147,0.9783,0.0156,0.3288
lgbm_regressor_chain,"{'n_estimators': 988, 'learning_rate': 0.08513171763779093, 'num_leaves': 58, 'max_depth': 20, 'reg_alpha': 0.0651244106312081, 'reg_lambda': 1.5550612169588328e-05}",0.9638,0.9916,0.0101,0.2046
xgboost_regressor_chain,"{'n_estimators': 628, 'learning_rate': 0.07679912178941291, 'max_depth': 9, 'subsample': 0.7436076879969545, 'colsample_bytree': 0.9450207155027548, 'reg_lambda': 3.5965327859858707e-07, 'gamma': 9.9832503226565e-05}",0.9661,0.9917,0.0098,0.203
random_forest_native,"{'n_estimators': 690, 'max_depth': 48, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.8856,0.9798,0.018,0.3172
knn_native,"{'n_neighbors': 5, 'weights': 'distance', 'p': 1}",0.867,0.9647,0.0194,0.419
catboost_native,"{'iterations': 490, 'learning_rate': 0.07548170371882067, 'depth': 9, 'l2_leaf_reg': 3.361587597831362e-05, 'random_strength': 3.4586696844529663e-07}",0.8147,0.9881,0.023,0.2435
mlp_native,"{'n_layers': 1, 'layer_size': 104, 'activation': 'tanh', 'alpha': 0.00010956313038744651, 'learning_rate_init': 0.0006423157741911645, 'batch_size': 32}",0.8551,0.9885,0.0203,0.2388
