Model,Best_Params,R2 para F1 (macro averaged by label),R2 para Model Size Log,RMSE para F1 (macro averaged by label),RMSE para Model Size Log
ridge_multi_output,{'multioutputregressor__estimator__alpha': 8.0},0.7005,0.9489,0.0784,0.5136
random_forest_multi_output,"{'n_estimators': 983, 'max_depth': 50, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.8753,0.9845,0.0506,0.2831
lgbm_multi_output,"{'n_estimators': 630, 'learning_rate': 0.08149600875189661, 'num_leaves': 55, 'max_depth': 19, 'reg_alpha': 0.031021152136635893, 'reg_lambda': 3.9894920475980684e-08}",0.9536,0.9957,0.0309,0.1492
catboost_multi_output,"{'iterations': 758, 'learning_rate': 0.09965904902024376, 'depth': 10, 'l2_leaf_reg': 0.0003632831569745104, 'random_strength': 0.00031673887201622095}",0.96,0.9961,0.0287,0.1421
xgboost_multi_output,"{'n_estimators': 880, 'learning_rate': 0.07746102297203629, 'max_depth': 10, 'subsample': 0.9769405937421186, 'colsample_bytree': 0.7389079648344505, 'reg_lambda': 4.061397947836065, 'gamma': 8.721187757607996e-07}",0.9627,0.996,0.0277,0.1441
random_forest_regressor_chain,"{'n_estimators': 960, 'max_depth': 50, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.8754,0.9843,0.0506,0.2847
lgbm_regressor_chain,"{'n_estimators': 998, 'learning_rate': 0.09919835257068522, 'num_leaves': 60, 'max_depth': 19, 'reg_alpha': 3.036842535659308e-06, 'reg_lambda': 1.0737251361385137e-08}",0.9578,0.9951,0.0295,0.1583
xgboost_regressor_chain,"{'n_estimators': 757, 'learning_rate': 0.0685022390379485, 'max_depth': 10, 'subsample': 0.6028213223866101, 'colsample_bytree': 0.9945100655095408, 'reg_lambda': 0.0022748115650652865, 'gamma': 1.23988315105147e-06}",0.9608,0.9948,0.0284,0.163
random_forest_native,"{'n_estimators': 575, 'max_depth': 47, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.7895,0.9849,0.0658,0.2795
knn_native,"{'n_neighbors': 6, 'weights': 'distance', 'p': 1}",0.7152,0.9623,0.0765,0.4411
catboost_native,"{'iterations': 867, 'learning_rate': 0.09995407714651507, 'depth': 10, 'l2_leaf_reg': 0.0004335367724853261, 'random_strength': 1.0113471561446656}",0.9258,0.9957,0.039,0.1484
mlp_native,"{'n_layers': 3, 'layer_size': 97, 'activation': 'relu', 'alpha': 7.880460788630397e-05, 'learning_rate_init': 0.001339369401148689, 'batch_size': 64}",0.8923,0.9937,0.047,0.1808
