Model_Name,R2_F1,R2_ModelSize_Log,RMSE_F1,RMSE_ModelSize_Log,Disk_Size_mb,Inference_time,Dataset_Source,Weighted_Score
xgboost_multi_output,0.9546,0.9977,0.0315,0.1027,24.5571,0.002637,birds,0.9696849999999999
xgboost_regressor_chain,0.9546,0.9972,0.0315,0.1135,33.895,0.045598,birds,0.96951
lgbm_regressor_chain,0.9506,0.9974,0.0329,0.11,10.5283,0.023401,birds,0.96698
catboost_multi_output,0.9444,0.9973,0.0349,0.112,14.5102,0.00302,birds,0.962915
lgbm_multi_output,0.9439,0.9972,0.0351,0.1138,8.0488,0.011798,birds,0.9625549999999999
mlp_native,0.918,0.9973,0.0424,0.1104,1.2649,0.000682,birds,0.9457549999999999
random_forest_multi_output,0.9161,0.988,0.0429,0.2351,3260.4405,0.019495,birds,0.941265
random_forest_regressor_chain,0.9164,0.9872,0.0428,0.2423,11954.5458,0.238372,birds,0.9411799999999999
random_forest_native,0.8644,0.9867,0.0545,0.2472,1113.6949,0.008707,birds,0.907205
knn_native,0.8156,0.9641,0.0636,0.4064,133.6284,0.012424,birds,0.867575
ridge_multi_output,0.7511,0.9431,0.0738,0.5115,0.017,0.000904,birds,0.8183
