Model,Best_Params,R2 para F1 (macro averaged by label),R2 para Model Size Log,RMSE para F1 (macro averaged by label),RMSE para Model Size Log
ridge_multi_output,{'multioutputregressor__estimator__alpha': 10.0},0.7511,0.9431,0.0738,0.5115
random_forest_multi_output,"{'n_estimators': 246, 'max_depth': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.9161,0.988,0.0429,0.2351
lgbm_multi_output,"{'n_estimators': 788, 'learning_rate': 0.055464695777598334, 'num_leaves': 55, 'max_depth': 17, 'reg_alpha': 3.472283585379092e-06, 'reg_lambda': 1.029688937480876e-05}",0.9439,0.9972,0.0351,0.1138
catboost_multi_output,"{'iterations': 913, 'learning_rate': 0.09871043277850863, 'depth': 9, 'l2_leaf_reg': 0.5228986166703905, 'random_strength': 0.011394466546696973}",0.9444,0.9973,0.0349,0.112
xgboost_multi_output,"{'n_estimators': 919, 'learning_rate': 0.06427037084355147, 'max_depth': 10, 'subsample': 0.837906535940821, 'colsample_bytree': 0.956992053714246, 'reg_lambda': 4.577812089129629, 'gamma': 0.0007158679724402781}",0.9546,0.9977,0.0315,0.1027
random_forest_regressor_chain,"{'n_estimators': 910, 'max_depth': 49, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.9164,0.9872,0.0428,0.2423
lgbm_regressor_chain,"{'n_estimators': 994, 'learning_rate': 0.0977549431402953, 'num_leaves': 58, 'max_depth': 17, 'reg_alpha': 7.890751536550479e-07, 'reg_lambda': 1.0768406563526026e-06}",0.9506,0.9974,0.0329,0.11
xgboost_regressor_chain,"{'n_estimators': 869, 'learning_rate': 0.07474293049512107, 'max_depth': 10, 'subsample': 0.9430728324744063, 'colsample_bytree': 0.828231090578927, 'reg_lambda': 0.9441792448920294, 'gamma': 3.389828447235408e-07}",0.9546,0.9972,0.0315,0.1135
random_forest_native,"{'n_estimators': 296, 'max_depth': 44, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.8644,0.9867,0.0545,0.2472
knn_native,"{'n_neighbors': 6, 'weights': 'distance', 'p': 1}",0.8156,0.9641,0.0636,0.4064
catboost_native,"{'iterations': 934, 'learning_rate': 0.07430861384582672, 'depth': 10, 'l2_leaf_reg': 0.023991681540206016, 'random_strength': 0.0015483319190457744}",0.9085,0.997,0.0448,0.1179
mlp_native,"{'n_layers': 3, 'layer_size': 120, 'activation': 'tanh', 'alpha': 2.9187717659846518e-05, 'learning_rate_init': 0.000239067916935769, 'batch_size': 32}",0.918,0.9973,0.0424,0.1104
