Model,Best_Params,R2 para F1 (macro averaged by label),R2 para Model Size Log,RMSE para F1 (macro averaged by label),RMSE para Model Size Log
ridge_multi_output,{'multioutputregressor__estimator__alpha': 5.0},0.5616,0.9108,0.0476,0.6888
random_forest_multi_output,"{'n_estimators': 143, 'max_depth': 48, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.8745,0.9823,0.0255,0.3067
lgbm_multi_output,"{'n_estimators': 975, 'learning_rate': 0.08955819479469632, 'num_leaves': 51, 'max_depth': 10, 'reg_alpha': 0.0002562023247915938, 'reg_lambda': 0.002097478664906792}",0.9494,0.9964,0.0162,0.1379
catboost_multi_output,"{'iterations': 978, 'learning_rate': 0.09173314494693081, 'depth': 10, 'l2_leaf_reg': 0.011217084482781567, 'random_strength': 6.418207567694601e-06}",0.9569,0.997,0.0149,0.1259
xgboost_multi_output,"{'n_estimators': 950, 'learning_rate': 0.09880263066806903, 'max_depth': 8, 'subsample': 0.8370053503124061, 'colsample_bytree': 0.8182586124785233, 'reg_lambda': 0.047563168881550225, 'gamma': 8.876147573217586e-07}",0.9572,0.9971,0.0149,0.1248
random_forest_regressor_chain,"{'n_estimators': 670, 'max_depth': 50, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.8698,0.9806,0.0259,0.3213
lgbm_regressor_chain,"{'n_estimators': 995, 'learning_rate': 0.09897207154143281, 'num_leaves': 50, 'max_depth': 14, 'reg_alpha': 0.01140513606793896, 'reg_lambda': 4.885083428139435e-06}",0.9517,0.9963,0.0158,0.1409
xgboost_regressor_chain,"{'n_estimators': 950, 'learning_rate': 0.07259189882613072, 'max_depth': 10, 'subsample': 0.7222416130677076, 'colsample_bytree': 0.9097600533224239, 'reg_lambda': 1.942982402005636, 'gamma': 2.997132070118108e-08}",0.961,0.9967,0.0142,0.1321
random_forest_native,"{'n_estimators': 533, 'max_depth': 46, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.8159,0.9825,0.0308,0.3047
knn_native,"{'n_neighbors': 5, 'weights': 'distance', 'p': 1}",0.7086,0.9522,0.0388,0.5043
catboost_native,"{'iterations': 776, 'learning_rate': 0.06874535291765325, 'depth': 9, 'l2_leaf_reg': 0.22983470202043396, 'random_strength': 0.00013396707817625797}",0.7676,0.9939,0.0347,0.1797
mlp_native,"{'n_layers': 1, 'layer_size': 100, 'activation': 'relu', 'alpha': 0.011624225689175163, 'learning_rate_init': 0.0014595194392377784, 'batch_size': 128}",0.8181,0.993,0.0307,0.1926
